OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,PaymentID,PaymentDate,PaymentStatus,ProductName,Category,UnitPrice
500015,102106,2025-10-21,2017,1.0,0.0,Wallet,Completed,31.0,Tehran,2025-12-10,Regular,800015,2025-10-21,Paid,HDMI Cable,Accessories,11.0
500016,104175,2024-05-18,2002,3.0,0.0,Gateway,Completed,37.0,Rasht,2023-05-20,New,800016,2024-05-18,Paid,Mechanical Keyboard,Electronics,62.0
500017,101158,2024-03-02,2001,2.0,0.05,Gateway,Completed,58.0,Tehran,2024-09-29,VIP,800017,2024-03-02,Paid,Wireless Mouse,Electronics,18.0
500018,109942,2024-07-13,2013,2.0,0.0,Gateway,Completed,48.0,Rasht,2025-09-13,New,800018,2024-07-13,Paid,Notebook,Stationery,7.0
500019,104270,2026-01-06,2013,1.0,0.0,CardToCard,Completed,42.0,Ahvaz,2023-10-20,Regular,800019,2026-01-06,Paid,Notebook,Stationery,7.0
500020,109355,2025-03-21,2017,2.0,0.2,Cash,Completed,37.0,Rasht,2024-05-03,New,800020,2025-03-21,Paid,HDMI Cable,Accessories,11.0
500021,105138,2025-11-28,2017,2.0,0.0,Gateway,Completed,49.0,Karaj,2023-05-27,Regular,800021,2025-11-28,Paid,HDMI Cable,Accessories,11.0
500022,105368,2024-11-15,2013,2.0,0.0,Gateway,Completed,45.0,Isfahan,2025-09-04,Regular,800022,2024-11-15,Paid,Notebook,Stationery,7.0
500023,108138,2025-05-25,2006,1.0,0.2,Cash,Completed,61.0,Tehran,2025-08-30,New,800023,2025-05-25,Paid,Webcam,Electronics,48.0
500024,107845,2025-05-28,2013,3.0,0.0,Gateway,Completed,26.0,Tehran,2024-04-23,Regular,800024,2025-05-28,Paid,Notebook,Stationery,7.0
500025,109039,2025-06-25,2013,1.0,0.15,Gateway,Completed,65.0,Ahvaz,2025-01-01,New,800025,2025-06-25,Paid,Notebook,Stationery,7.0
500026,107998,2025-02-10,2010,2.0,0.05,CardToCard,Completed,34.0,Mashhad,2024-12-18,New,800026,2025-02-10,Paid,Fitness Band,Wearables,55.0
500027,108982,2024-07-25,2006,2.0,0.1,Cash,Completed,43.0,Tehran,2024-05-08,Regular,800027,2024-07-25,Paid,Webcam,Electronics,48.0
500028,103563,2025-01-05,2002,1.0,0.0,Gateway,Completed,38.0,Ahvaz,2023-04-11,Regular,800028,2025-01-05,Paid,Mechanical Keyboard,Electronics,62.0
500029,100210,2026-05-29,2002,1.0,0.1,Wallet,Completed,55.0,tehran,2024-04-13,Regular,800029,2026-05-29,Paid,Mechanical Keyboard,Electronics,62.0
500030,104615,2024-08-23,2019,2.0,0.05,CardToCard,Completed,44.0,Tehran,2024-04-06,VIP,800030,2024-08-23,Paid,Tablet,Electronics,260.0
500031,101683,2025-09-18,2011,2.0,0.0,Gateway,Completed,19.0,Shiraz,2025-04-27,Regular,800031,2025-09-18,Paid,Desk Lamp,Home Office,32.0
500032,109032,2026-04-21,2008,2.0,0.0,Wallet,Completed,32.0,Karaj,2023-10-02,Regular,800032,2026-04-21,Paid,Phone Case,Accessories,14.0
500033,107365,2025-05-04,2007,3.0,0.05,Gateway,Completed,65.0,Kerman,2025-12-15,Regular,800033,2025-05-04,Paid,Headphones,Electronics,75.0
500034,105082,2025-02-26,2004,2.0,0.05,Gateway,Completed,42.0,Tehran,2025-11-02,New,800034,2025-02-26,Paid,Power Bank,Electronics,35.0
500035,106013,2024-04-14,2008,5.0,0.1,Wallet,Completed,49.0,Tabriz,2024-07-05,Regular,800035,2024-04-14,Paid,Phone Case,Accessories,14.0
500036,103010,2025-10-12,2017,2.0,0.2,Wallet,Completed,56.0,,2024-05-03,VIP,800036,2025-10-12,Refunded,HDMI Cable,Accessories,11.0
500037,107822,2026-03-10,2013,1.0,0.0,Gateway,Completed,42.0,Tehran,2023-03-30,VIP,800037,2026-03-10,Paid,Notebook,Stationery,7.0
500038,101279,2026-06-06,2001,4.0,0.15,Gateway,Completed,18.0,Karaj,2023-06-04,Regular,800038,2026-06-06,Paid,Wireless Mouse,Electronics,18.0
500039,107601,2024-06-23,2013,5.0,0.05,Gateway,Returned,24.0,Karaj,2023-01-29,New,800039,2024-06-23,Paid,Notebook,Stationery,7.0
500040,104265,2026-03-21,2011,4.0,0.1,Gateway,Cancelled,46.0,Tehran,2025-07-30,VIP,800040,2026-03-21,Paid,Desk Lamp,Home Office,32.0
500041,104458,2024-11-16,2010,2.0,0.3,Gateway,Completed,19.0,Tehran,2025-10-27,Regular,800041,2024-11-16,Paid,Fitness Band,Wearables,55.0
500042,104499,2025-06-19,2006,1.0,0.1,Gateway,Completed,29.0,Kerman,2023-02-17,Regular,800042,2025-06-19,Paid,Webcam,Electronics,48.0
500043,109584,2024-07-12,2020,1.0,0.0,Gateway,Completed,18.0,Tabriz,2024-12-19,Regular,800043,2024-07-12,Paid,Gaming Controller,Gaming,68.0
500044,104936,2024-08-02,2005,1.0,0.0,CardToCard,Completed,46.0,Mashhad,2024-02-02,Regular,800044,2024-08-02,Paid,Laptop Stand,Accessories,28.0
500045,100241,2025-06-18,2017,2.0,0.05,,Completed,24.0,Tehran,2023-12-20,Regular,800045,2025-06-18,Paid,HDMI Cable,Accessories,11.0
500046,107541,2025-02-22,2002,1.0,0.05,CardToCard,Completed,49.0,Mashhad,2024-06-02,Regular,800046,2025-02-22,Paid,Mechanical Keyboard,Electronics,62.0
500047,109317,2026-05-16,2003,3.0,0.0,CardToCard,Completed,65.0,Tabriz,2023-12-02,Regular,800047,2026-05-16,Paid,USB-C Cable,Accessories,9.0
500048,109778,2024-08-16,2010,2.0,0.0,Cash,Completed,36.0,Tehran,2023-11-13,New,800048,2024-08-16,Paid,Fitness Band,Wearables,55.0
500049,102735,2026-01-28,2003,2.0,0.0,CardToCard,Completed,39.0,Qom,2025-01-03,VIP,800049,2026-01-28,Paid,USB-C Cable,Accessories,9.0
500050,103894,2025-02-01,2017,1.0,0.05,Gateway,Completed,27.0,Tehran,2025-09-25,Regular,800050,2025-02-01,Refunded,HDMI Cable,Accessories,11.0
500051,102673,2024-04-26,2011,1.0,0.0,Gateway,Completed,58.0,Rasht,2025-07-26,New,800051,2024-04-26,Paid,Desk Lamp,Home Office,32.0
500052,108100,2024-07-25,2013,3.0,0.1,Wallet,Completed,52.0,Mashhad,2024-09-17,VIP,800052,2024-07-25,Paid,Notebook,Stationery,7.0
500053,106454,2025-10-14,2013,1.0,0.0,Wallet,Completed,50.0,Tehran,2023-02-26,New,800053,2025-10-14,Paid,Notebook,Stationery,7.0
500054,106300,2025-12-15,2011,1.0,0.2,Wallet,Returned,26.0,Tabriz,2025-08-07,New,800054,2025-12-15,Paid,Desk Lamp,Home Office,32.0
500055,109861,2024-02-04,2011,2.0,0.15,Cash,Completed,43.0,Tehran,2024-11-07,New,800055,2024-02-04,Paid,Desk Lamp,Home Office,32.0
500056,108499,2024-12-20,2018,2.0,0.0,Wallet,Completed,46.0,Tehran,2023-01-17,New,800056,2024-12-20,Paid,Microphone,Electronics,85.0
500057,101360,2025-03-02,2011,1.0,0.0,Gateway,Completed,35.0,Isfahan,2025-03-13,New,800057,2025-03-02,Paid,Desk Lamp,Home Office,32.0
500058,104257,2025-06-15,2010,2.0,0.0,Gateway,Completed,33.0,tehran,2024-06-05,New,800058,2025-06-15,Paid,Fitness Band,Wearables,55.0
500059,109227,2025-07-16,2003,1.0,0.0,Wallet,Completed,52.0,Tehran,2024-07-08,New,800059,2025-07-16,Refunded,USB-C Cable,Accessories,9.0
500060,104648,2025-12-18,2009,2.0,0.15,Wallet,Completed,21.0,Isfahan,2023-04-25,Regular,800060,2025-12-18,Paid,Smart Watch,Wearables,120.0
500061,103566,2024-08-24,2011,2.0,0.0,Cash,Completed,30.0,Mashhad,2023-01-04,New,800061,2024-08-24,Paid,Desk Lamp,Home Office,32.0
500062,103020,2024-04-06,2007,3.0,0.05,Gateway,Completed,53.0,Tabriz,2023-05-07,New,800062,2024-04-06,Paid,Headphones,Electronics,75.0
500063,106946,2024-06-10,2011,1.0,0.0,Gateway,Completed,44.0,Tabriz,2025-07-19,Regular,800063,2024-06-10,Paid,Desk Lamp,Home Office,32.0
500064,107003,2026-04-11,2015,2.0,0.1,CardToCard,Completed,64.0,Tehran,2023-06-14,Regular,800064,2026-04-11,Paid,Bluetooth Speaker,Electronics,58.0
500065,104518,2025-04-17,2014,1.0,0.0,CardToCard,Completed,20.0,Mashhad,2024-01-11,Regular,800065,2025-04-17,Paid,Backpack,Accessories,42.0
500066,102799,2024-07-08,2017,1.0,0.05,Gateway,Completed,51.0,Mashhad,2023-12-30,New,800066,2024-07-08,Paid,HDMI Cable,Accessories,11.0
500067,100378,2025-11-09,2013,1.0,0.05,Gateway,Completed,53.0,Karaj,2023-08-31,Regular,800067,2025-11-09,Paid,Notebook,Stationery,7.0
500068,104093,2025-05-22,2002,1.0,0.05,Wallet,Cancelled,35.0,Tehran,2025-10-25,Regular,800068,2025-05-22,Paid,Mechanical Keyboard,Electronics,62.0
500069,103550,2024-11-13,2011,4.0,0.1,Gateway,Returned,48.0,Tabriz,2024-06-22,New,800069,2024-11-13,Paid,Desk Lamp,Home Office,32.0
500070,105158,2024-01-16,2003,3.0,0.0,Gateway,Completed,23.0,Qom,2024-11-06,New,800070,2024-01-16,Paid,USB-C Cable,Accessories,9.0
500071,100053,2025-11-07,2008,1.0,0.1,Wallet,Completed,35.0,Shiraz,2024-02-27,Regular,800071,2025-11-07,Paid,Phone Case,Accessories,14.0
500072,108212,2025-09-12,2017,1.0,0.2,CardToCard,Completed,22.0,Mashhad,2023-05-11,New,800072,2025-09-12,Paid,HDMI Cable,Accessories,11.0
500073,102545,2024-08-14,2002,2.0,0.05,Gateway,Completed,56.0,Shiraz,2023-02-22,New,800073,2024-08-14,Paid,Mechanical Keyboard,Electronics,62.0
500074,106487,2024-08-17,2014,5.0,0.1,Gateway,Completed,55.0,Kerman,2025-06-11,Regular,800074,2024-08-17,Paid,Backpack,Accessories,42.0
500075,104951,2024-08-22,2007,1.0,0.05,Wallet,Completed,33.0,Tehran,2025-01-18,New,800075,2024-08-22,Paid,Headphones,Electronics,75.0
500076,105369,2025-08-02,2014,3.0,0.05,Gateway,Completed,49.0,Isfahan,2024-12-10,Regular,800076,2025-08-02,Paid,Backpack,Accessories,42.0
500077,108987,2024-09-11,2003,2.0,0.3,Gateway,Completed,53.0,Tehran,2025-06-06,Regular,800077,2024-09-11,Paid,USB-C Cable,Accessories,9.0
500078,100771,2024-09-25,2002,2.0,0.3,CardToCard,Completed,49.0,Qom,2025-01-20,New,800078,2024-09-25,Paid,Mechanical Keyboard,Electronics,62.0
500079,103388,2024-11-21,2015,2.0,0.2,Wallet,Completed,53.0,Shiraz,2023-06-13,New,800079,2024-11-21,Paid,Bluetooth Speaker,Electronics,58.0
500080,100685,2026-06-05,2013,1.0,0.0,Gateway,Cancelled,26.0,Isfahan,2025-04-22,New,800080,2026-06-05,Paid,Notebook,Stationery,7.0
500081,107845,2025-02-01,2018,2.0,0.0,Gateway,Completed,26.0,Tehran,2024-04-23,Regular,800081,2025-02-01,Paid,Microphone,Electronics,85.0
500082,103580,2024-11-22,2007,3.0,0.05,CardToCard,Completed,21.0,Tehran,2023-09-24,Regular,800082,2024-11-22,Paid,Headphones,Electronics,75.0
500083,104496,2025-02-10,2008,1.0,0.0,Wallet,Completed,48.0,Tehran,2023-06-02,Regular,800083,2025-02-10,Paid,Phone Case,Accessories,14.0
500084,100243,2025-09-13,2013,3.0,0.05,CardToCard,Completed,22.0,Mashhad,2023-05-21,New,800084,2025-09-13,Paid,Notebook,Stationery,7.0
500085,106025,2026-02-03,2003,1.0,0.0,Gateway,Completed,41.0,Tehran,2023-02-23,New,800085,2026-02-03,Paid,USB-C Cable,Accessories,9.0
500086,102251,2026-06-19,2001,1.0,0.0,Gateway,Completed,42.0,Shiraz,2025-05-24,Regular,800086,2026-06-19,Paid,Wireless Mouse,Electronics,18.0
500087,100613,2025-02-23,2015,2.0,0.0,Gateway,Completed,55.0,Mashhad,2024-07-24,New,800087,2025-02-23,Paid,Bluetooth Speaker,Electronics,58.0
500088,109509,2025-02-01,2008,3.0,0.05,CardToCard,Completed,57.0,Tabriz,2025-11-11,Regular,800088,2025-02-01,Paid,Phone Case,Accessories,14.0
500089,105172,2024-10-12,2019,2.0,0.05,Gateway,Completed,39.0,Mashhad,2025-12-28,Regular,800089,2024-10-12,Paid,Tablet,Electronics,260.0
500090,102165,2025-11-04,2003,4.0,0.1,Wallet,Completed,63.0,Rasht,2024-01-23,New,800090,2025-11-04,Refunded,USB-C Cable,Accessories,9.0
500091,103486,2025-07-20,2003,1.0,0.1,Cash,Cancelled,19.0,Ahvaz,2025-08-29,Regular,800091,2025-07-20,Paid,USB-C Cable,Accessories,9.0
500092,107995,2024-11-09,2001,5.0,0.05,CardToCard,Completed,58.0,Qom,2025-02-06,Regular,800092,2024-11-09,Paid,Wireless Mouse,Electronics,18.0
500093,104739,2025-03-23,2018,2.0,0.1,Gateway,Completed,34.0,,2025-02-07,Regular,800093,2025-03-23,Paid,Microphone,Electronics,85.0
500094,106590,2024-06-26,2015,2.0,0.3,Gateway,Completed,41.0,Tehran,2025-12-06,Regular,800094,2024-06-26,Paid,Bluetooth Speaker,Electronics,58.0
500095,102948,2025-08-22,2020,1.0,0.15,Gateway,Completed,41.0,Isfahan,2025-11-03,Regular,800095,2025-08-22,Paid,Gaming Controller,Gaming,68.0
500096,101255,2024-08-05,2018,1.0,0.0,CardToCard,Completed,49.0,Rasht,2025-04-30,Regular,800096,2024-08-05,Paid,Microphone,Electronics,85.0
500097,100083,2024-10-29,2004,1.0,0.3,Gateway,Completed,25.0,Isfahan,2023-12-19,Regular,800097,2024-10-29,Paid,Power Bank,Electronics,35.0
500098,102041,2024-02-29,2017,3.0,0.0,Gateway,Cancelled,31.0,Tabriz,2025-03-28,Regular,800098,2024-02-29,Paid,HDMI Cable,Accessories,11.0
500099,109236,2024-07-09,2014,4.0,0.1,CardToCard,Completed,44.0,Isfahan,2024-03-24,New,800099,2024-07-09,Paid,Backpack,Accessories,42.0
500100,100300,2024-06-17,2005,3.0,0.0,CardToCard,Completed,19.0,Tehran,2025-11-02,New,800100,2024-06-17,Paid,Laptop Stand,Accessories,28.0
500101,100163,2025-09-27,2008,2.0,0.15,Gateway,Completed,37.0,Tehran,2024-08-22,Regular,800101,2025-09-27,Paid,Phone Case,Accessories,14.0
500102,100303,2025-08-23,2010,1.0,0.0,Gateway,Completed,18.0,Karaj,2023-10-25,Regular,800102,2025-08-23,Paid,Fitness Band,Wearables,55.0
500103,107340,2025-04-10,2005,1.0,0.05,Gateway,Completed,45.0,Tabriz,2024-08-26,New,800103,2025-04-10,Paid,Laptop Stand,Accessories,28.0
500104,108874,2024-11-30,2005,1.0,0.1,CardToCard,Completed,57.0,Rasht,2024-12-04,Regular,800104,2024-11-30,Paid,Laptop Stand,Accessories,28.0
500105,104487,2026-02-10,2015,1.0,0.15,Gateway,Completed,44.0,Tabriz,2023-04-02,Regular,800105,2026-02-10,Failed,Bluetooth Speaker,Electronics,58.0
500106,109797,2026-02-03,2007,3.0,0.0,Gateway,Completed,47.0,Isfahan,2024-11-02,Regular,800106,2026-02-03,Paid,Headphones,Electronics,75.0
500107,103568,2025-06-04,2007,3.0,0.1,Wallet,Completed,25.0,Isfahan,2023-06-25,Regular,800107,2025-06-04,Paid,Headphones,Electronics,75.0
500108,109290,2025-07-22,2018,4.0,0.0,Wallet,Completed,31.0,Mashhad,2023-02-09,Regular,800108,2025-07-22,Paid,Microphone,Electronics,85.0
500109,104967,2025-11-19,2017,2.0,0.05,Gateway,Completed,28.0,Mashhad,2023-08-15,New,800109,2025-11-19,Paid,HDMI Cable,Accessories,11.0
500110,103549,2025-09-16,2003,1.0,0.15,Gateway,Cancelled,,Karaj,2024-02-02,Regular,800110,2025-09-16,Paid,USB-C Cable,Accessories,9.0
500111,108820,2024-07-13,2003,3.0,0.0,Gateway,Completed,25.0,Qom,2025-08-05,VIP,800111,2024-07-13,Paid,USB-C Cable,Accessories,9.0
500112,100737,2025-03-10,2005,2.0,0.1,Gateway,Completed,53.0,Tabriz,2025-08-03,Regular,800112,2025-03-10,Paid,Laptop Stand,Accessories,28.0
500113,101140,2024-05-11,2013,1.0,0.15,Gateway,Cancelled,43.0,Isfahan,2023-01-04,VIP,800113,2024-05-11,Paid,Notebook,Stationery,7.0
500114,107642,2025-11-30,2007,3.0,0.0,,Completed,54.0,Shiraz,2023-10-28,Regular,800114,2025-11-30,Paid,Headphones,Electronics,75.0
500115,109188,2025-07-18,2008,2.0,0.0,Gateway,Completed,27.0,Isfahan,2023-11-11,New,800115,2025-07-18,Paid,Phone Case,Accessories,14.0
500116,102851,2026-06-04,2001,1.0,0.05,,Completed,27.0,Shiraz,2024-07-27,Regular,800116,2026-06-04,Refunded,Wireless Mouse,Electronics,18.0
500117,106117,2024-04-28,2008,2.0,0.15,Wallet,Returned,58.0,Tehran,2024-08-27,Regular,800117,2024-04-28,Paid,Phone Case,Accessories,14.0
500118,101946,2025-03-16,2005,1.0,0.05,Gateway,Completed,,Karaj,2025-02-06,Regular,800118,2025-03-16,Paid,Laptop Stand,Accessories,28.0
500119,101651,2025-09-17,2007,3.0,0.0,Gateway,Completed,,Tabriz,2024-05-19,Regular,800119,2025-09-17,Paid,Headphones,Electronics,75.0
500120,104593,2026-01-19,2001,5.0,0.0,,Completed,21.0,Rasht,2023-01-21,Regular,800120,2026-01-19,Paid,Wireless Mouse,Electronics,18.0
500121,109488,2026-01-07,2008,3.0,0.0,CardToCard,Completed,31.0,Qom,2023-08-15,VIP,800121,2026-01-07,Paid,Phone Case,Accessories,14.0
500122,100808,2024-06-23,2012,2.0,0.15,Gateway,Completed,23.0,Ahvaz,2025-01-22,VIP,800122,2024-06-23,Paid,Office Chair,Home Office,180.0
500123,108989,2026-06-08,2008,1.0,0.15,Gateway,Completed,18.0,Ahvaz,2025-06-24,New,800123,2026-06-08,Paid,Phone Case,Accessories,14.0
500124,100247,2026-06-07,2002,1.0,0.3,CardToCard,Completed,54.0,Isfahan,2023-10-30,New,800124,2026-06-07,Paid,Mechanical Keyboard,Electronics,62.0
500125,109971,2026-05-22,2007,4.0,0.3,Gateway,Completed,27.0,Karaj,2025-03-18,Regular,800125,2026-05-22,Failed,Headphones,Electronics,75.0
500126,105041,2025-06-14,2005,4.0,0.05,Cash,Completed,34.0,Tehran,2025-08-14,New,800126,2025-06-14,Paid,Laptop Stand,Accessories,28.0
500127,108080,2025-12-19,2007,2.0,0.0,CardToCard,Completed,57.0,Kerman,2025-04-23,VIP,800127,2025-12-19,Refunded,Headphones,Electronics,75.0
500128,106290,2024-03-06,2014,1.0,0.05,CardToCard,Completed,57.0,Tehran,2025-05-15,New,800128,2024-03-06,Paid,Backpack,Accessories,42.0
500129,108436,2024-08-08,2019,1.0,0.0,Gateway,Completed,21.0,Isfahan,2025-02-02,Regular,800129,2024-08-08,Paid,Tablet,Electronics,260.0
500130,106102,2024-03-20,2012,1.0,0.3,Gateway,Completed,60.0,Tehran,2025-10-14,Regular,800130,2024-03-20,Paid,Office Chair,Home Office,180.0
500131,101553,2025-03-12,2007,1.0,0.05,Wallet,Completed,43.0,Ahvaz,2023-07-25,VIP,800131,2025-03-12,Paid,Headphones,Electronics,75.0
500132,100253,2026-05-17,2008,1.0,0.05,Gateway,Completed,27.0,Tehran,2024-06-28,New,800132,2026-05-17,Paid,Phone Case,Accessories,14.0
500133,108318,2025-07-14,2017,2.0,0.1,Gateway,Completed,39.0,Mashhad,2023-05-08,Regular,800133,2025-07-14,Paid,HDMI Cable,Accessories,11.0
500134,100871,2025-02-02,2017,1.0,,CardToCard,Completed,39.0,Tabriz,2023-04-23,New,800134,2025-02-02,Paid,HDMI Cable,Accessories,11.0
500135,107244,2025-11-16,2017,2.0,0.3,CardToCard,Completed,31.0,Qom,2025-06-11,New,800135,2025-11-16,Paid,HDMI Cable,Accessories,11.0
500136,101858,2025-04-20,2018,2.0,0.0,Gateway,Completed,,Mashhad,2024-02-21,New,800136,2025-04-20,Paid,Microphone,Electronics,85.0
500137,106607,2025-01-30,2017,3.0,0.05,CardToCard,Completed,59.0,Tabriz,2024-12-03,New,800137,2025-01-30,Paid,HDMI Cable,Accessories,11.0
500138,103340,2025-06-27,2007,1.0,0.0,Gateway,Completed,59.0,Karaj,2024-08-01,Regular,800138,2025-06-27,Paid,Headphones,Electronics,75.0
500139,108835,2025-03-18,2011,4.0,0.05,CardToCard,Completed,63.0,Karaj,2025-10-25,Regular,800139,2025-03-18,Failed,Desk Lamp,Home Office,32.0
500140,107286,2025-07-08,2008,1.0,0.2,Wallet,Completed,,Tehran,2025-02-10,Regular,800140,2025-07-08,Paid,Phone Case,Accessories,14.0
500141,104773,2025-11-24,2010,2.0,0.05,Gateway,Completed,26.0,Karaj,2023-06-09,New,800141,2025-11-24,Paid,Fitness Band,Wearables,55.0
500142,100252,2025-02-03,2010,1.0,0.1,CardToCard,Completed,41.0,Tehran,2024-09-12,VIP,800142,2025-02-03,Paid,Fitness Band,Wearables,55.0
500143,103103,2024-12-24,2016,2.0,0.1,Gateway,Completed,18.0,Karaj,2023-12-09,Regular,800143,2024-12-24,Paid,Monitor,Electronics,21.0
500144,101874,2025-04-27,2016,1.0,0.0,CardToCard,Completed,63.0,,2025-09-14,Regular,800144,2025-04-27,Paid,Monitor,Electronics,21.0
500145,107442,2026-03-01,2008,2.0,0.15,CardToCard,Completed,48.0,Tabriz,2025-10-24,Regular,800145,2026-03-01,Paid,Phone Case,Accessories,14.0
500146,107442,2024-12-31,2009,4.0,0.0,Cash,Completed,48.0,Tabriz,2025-10-24,Regular,800146,2024-12-31,Paid,Smart Watch,Wearables,120.0
500147,104242,2026-01-02,2010,4.0,0.0,Wallet,Completed,31.0,Isfahan,2024-01-16,New,800147,2026-01-02,Paid,Fitness Band,Wearables,55.0
500148,103890,2025-06-17,2013,3.0,0.1,Wallet,Completed,57.0,Tehran,2025-10-26,New,800148,2025-06-17,Paid,Notebook,Stationery,7.0
500149,105747,2024-01-11,2009,2.0,0.3,CardToCard,Completed,38.0,Isfahan,2024-11-16,Regular,800149,2024-01-11,Paid,Smart Watch,Wearables,120.0
500150,104546,2025-02-15,2014,1.0,0.05,CardToCard,Completed,54.0,Tehran,2024-04-23,Regular,800150,2025-02-15,Paid,Backpack,Accessories,42.0
500151,104785,2024-06-30,2006,4.0,0.05,Gateway,Completed,58.0,Shiraz,2024-12-01,Regular,800151,2024-06-30,Paid,Webcam,Electronics,48.0
500152,101032,2024-05-10,2012,1.0,0.0,Wallet,Completed,26.0,Isfahan,2023-10-22,Regular,800152,2024-05-10,Paid,Office Chair,Home Office,180.0
500153,108727,2024-07-21,2018,1.0,0.0,CardToCard,Completed,60.0,Isfahan,2025-04-26,New,800153,2024-07-21,Paid,Microphone,Electronics,85.0
500154,102971,2025-09-07,2007,1.0,0.15,Wallet,Completed,47.0,Tabriz,2024-02-13,New,800154,2025-09-07,Paid,Headphones,Electronics,75.0
500155,103997,2025-06-26,2003,2.0,0.05,Wallet,Returned,19.0,Ahvaz,2024-10-23,Regular,800155,2025-06-26,Paid,USB-C Cable,Accessories,9.0
500156,103396,2025-04-08,2014,1.0,0.1,Gateway,Completed,56.0,Shiraz,2023-08-02,Regular,800156,2025-04-08,Paid,Backpack,Accessories,42.0
500157,109573,2025-03-03,2014,1.0,0.15,Gateway,Completed,25.0,Tehran,2025-07-31,New,800157,2025-03-03,Paid,Backpack,Accessories,42.0
500158,109579,2024-12-02,2009,2.0,0.3,CardToCard,Completed,,Tehran,2024-10-01,New,800158,2024-12-02,Paid,Smart Watch,Wearables,120.0
500159,109132,2026-02-06,2003,2.0,0.05,Gateway,Completed,49.0,Kerman,2024-10-09,Regular,800159,2026-02-06,Paid,USB-C Cable,Accessories,9.0
500160,105558,2026-04-06,2007,3.0,0.0,Cash,Completed,30.0,Tehran,2023-03-15,Regular,800160,2026-04-06,Paid,Headphones,Electronics,75.0
500161,103309,2025-10-22,2016,1.0,0.1,Cash,Completed,19.0,Mashhad,2025-08-01,VIP,800161,2025-10-22,Paid,Monitor,Electronics,21.0
500162,101330,2024-09-06,2014,1.0,0.2,Gateway,Completed,34.0,Tehran,2023-07-19,Regular,800162,2024-09-06,Paid,Backpack,Accessories,42.0
500163,105525,2026-03-13,2006,1.0,0.0,CardToCard,Completed,47.0,Rasht,2024-03-13,New,800163,2026-03-13,Paid,Webcam,Electronics,48.0
500164,107488,2025-12-08,2004,2.0,0.05,Gateway,Completed,42.0,Isfahan,2025-11-03,Regular,800164,2025-12-08,Paid,Power Bank,Electronics,35.0
500165,106784,2024-04-17,2003,1.0,0.2,CardToCard,Completed,51.0,Karaj,2023-09-12,Regular,800165,2024-04-17,Paid,USB-C Cable,Accessories,9.0
500166,109289,2024-10-22,2007,3.0,0.0,Gateway,Completed,,Mashhad,2024-01-23,New,800166,2024-10-22,Paid,Headphones,Electronics,75.0
500167,109697,2024-10-10,2004,2.0,0.0,Cash,Cancelled,38.0,Tehran,2023-11-25,New,800167,2024-10-10,Paid,Power Bank,Electronics,35.0
